,signature,body,docstring,id
11927,"@Suppress(""NON_PUBLIC_CALL_FROM_PUBLIC_INLINE"") inline fun <reified T: NativePointed> interpretNullablePointed(ptr: NativePtr): T?","{
    if (ptr == nativeNullPtr) {
        return null
    } else {
        val result = nativeMemUtils.allocateInstance<T>()
        result.rawPtr = ptr
        return result
    }
}","/**

 * Returns interpretation of entity with given pointer, or `null` if it is null.

 *

 * @param T must not be abstract

 */",f3611:m89
14955,public actual operator fun ShortArray.plus(element: Short): ShortArray,"{
    val index = size
    val result = copyOfUninitializedElements(index + 1)
    result[index] = element
    return result
}","/**

 * Returns an array containing all elements of the original array and then the given [element].

 */",f3831:m4021
64459,"@SinceKotlin(""1.5"") @WasExperimental(ExperimentalPathApi::class) @Throws(IOException::class) @kotlin.internal.InlineOnly public inline fun <T> Path.useLines(charset: Charset = Charsets.UTF_8, block: (Sequence<String>) -> T): T","{
    contract { callsInPlace(block, InvocationKind.EXACTLY_ONCE) }
    return Files.newBufferedReader(this, charset).use { block(it.lineSequence()) }
}","/**

 * Calls the [block] callback giving it a sequence of all the lines in this file and closes the reader once

 * the processing is complete.



 * @param charset character set to use for reading text, UTF-8 by default.

 * @return the value returned by [block].

 */",f17469:m537
52944,public fun <T> ItemArrayLike<T>.asList(): List<T>,"object : AbstractList<T>() {
    override val size: Int get() = this@asList.length

    override fun get(index: Int): T = when (index) {
        in 0 .. lastIndex -> this@asList.item(index).unsafeCast<T>()
        else -> throw IndexOutOfBoundsException(""index $index is not in range [0..$lastIndex]"")
    }
}","/**

 * Returns the view of this `ItemArrayLike<T>` collection as `List<T>`

 */",f16593:m25
23023,"private fun Project.fixWiredSourceSetSecondaryVariants(wireSourceSet: SourceSet, commonSourceSet: SourceSet)","{
    configurations.matching { it.name == wireSourceSet.apiElementsConfigurationName || it.name == wireSourceSet.runtimeElementsConfigurationName }.configureEach { outgoing { variants.maybeCreate(""classes"").apply {
        attributes { attribute(LibraryElements.LIBRARY_ELEMENTS_ATTRIBUTE, objects.named(LibraryElements.CLASSES)) }
        (commonSourceSet.output.classesDirs.files + wireSourceSet.output.classesDirs.files).toSet().forEach { if (!artifacts.files.contains(it)) {
            artifact(it) { type = ArtifactTypeDefinition.JVM_CLASS_DIRECTORY }
        } }
    } } }
    configurations.matching { it.name == wireSourceSet.runtimeElementsConfigurationName }.configureEach { outgoing {
        val resourcesDirectories = listOfNotNull(commonSourceSet.output.resourcesDir, wireSourceSet.output.resourcesDir)
        if (resourcesDirectories.isNotEmpty()) {
            variants.maybeCreate(""resources"").apply {
                attributes { attribute(LibraryElements.LIBRARY_ELEMENTS_ATTRIBUTE, objects.named(LibraryElements.RESOURCES)) }
                resourcesDirectories.forEach { if (!artifacts.files.contains(it)) {
                    artifact(it) { type = ArtifactTypeDefinition.JVM_RESOURCES_DIRECTORY }
                } }
            }
        }
    } }
}","/**

 * Fixes wired SourceSet does not expose compiled common classes and common resources as secondary variant

 * which is used in the Kotlin Project compilation.

 */",f8830:m379
56157,@kotlin.internal.InlineOnly public inline fun <T> T.apply(block: T.() -> Unit): T,"{
    contract { callsInPlace(block, InvocationKind.EXACTLY_ONCE) }
    block()
    return this
}","/**

 * Calls the specified function [block] with `this` value as its receiver and returns `this` value.

 *

 * For detailed usage information see the documentation for [scope functions](https://kotlinlang.org/docs/reference/scope-functions.html#apply).

 */",f16833:m145
41447,"inline fun <reified E: Exception> assertThrows(message: String = ""Expected ${E::class.java.name} to be thrown"", body: () -> Unit): Throwable","{
    try {
        body()
    } catch (e: Throwable) {
        if (e is E) {
            return e
        }
    }
    throw AssertionError(message)
}","/**

 * A replacement for the JUnit Jupiter function to be used in JUnit 4 tests.

 *

 * Asserts that the given code block throws an exception of the specified type.

 *

 * @param E the type of exception that is expected to be thrown

 * @param message the error message to be used if the exception is not thrown

 * @param body the code block to be executed and verified

 * @return the caught exception if it is of the specified type

 * @throws AssertionError if the specified exception is not thrown

 */",f13041:m15
16178,internal fun FirBasedSymbol<*>.unwrapSymbolToPostpone(): FirBasedSymbol<*>,"when (this) {
    is FirValueParameterSymbol -> containingFunctionSymbol
    else -> this
}","/**

 * @return a symbol which should be used as a member of [postponedSymbolsForAnnotationResolution] collection

 *

 * @see postponedSymbolsForAnnotationResolution

 */",f4076:m149
63448,"@Deprecated(""Use Kotlin compiler 1.4 to avoid deprecation warning."") @SinceKotlin(""1.1"") @DeprecatedSinceKotlin(hiddenSince = ""1.4"") public fun ShortArray.contentHashCode(): Int","{
    return this.contentHashCode()
}","/**

 * Returns a hash code based on the contents of this array as if it is [List].

 */",f17396:m1445
14910,public actual fun IntArray.copyOf(newSize: Int): IntArray,"{
    return this.copyOfUninitializedElements(newSize)
}","/**

 * Returns new array which is a copy of the original array, resized to the given [newSize].

 * The copy is either truncated or padded at the end with zero values if necessary.

 * 

 * - If [newSize] is less than the size of the original array, the copy array is truncated to the [newSize].

 * - If [newSize] is greater than the size of the original array, the extra elements in the copy array are filled with zero values.

 * 

 * @sample samples.collections.Arrays.CopyOfOperations.resizedPrimitiveCopyOf

 */",f3831:m2827
64076,"@Deprecated(""Direct conversion to Char is deprecated. Use toInt().toChar() or Char constructor instead."", ReplaceWith(""this.toInt().toChar()"")) @DeprecatedSinceKotlin(warningSince = ""1.5"", errorSince = ""2.3"") @kotlin.internal.IntrinsicConstEvaluation public override fun toChar(): Char",reinterpretAsInt().reinterpretAsChar(),"/**

     * Converts this [Byte] value to [Char].

     *

     * If this value is non-negative, the resulting `Char` code is equal to this value.

     *

     * The least significant 8 bits of the resulting `Char` code are the same as the bits of this `Byte` value,

     * whereas the most significant 8 bits are filled with the sign bit of this value.

     */",f17455:m725
52789,@Test fun testLookBehind(),"{
    var regex: Regex
    var result: List<String>
    regex = ""(?<=^/nl(?:/nl)?/\\d{1,600}[\\d+]{0,600}/[\\d+]{0,600})(\\d+)"".toRegex()
    result = regex.allGroups(""/nl/nl/1+2/3+4/"")
    assertEquals(2, result.count())
    assertEquals(""0 => 3; 1 => 3"", result[0])
    assertEquals(""0 => 4; 1 => 4"", result[1])
    regex = ""abe(?<=[ab][!be](.|\\b))(=|t)"".toRegex()
    result = regex.allGroups(""abet   abe="")
    assertEquals(2, result.count())
    assertEquals(""0 => abet; 1 => e; 2 => t"", result[0])
    assertEquals(""0 => abe=; 1 => ; 2 => ="", result[1])
}","/**

     * Tests regular expressions with lookbehind asserts.

     */",f16574:m39
54830,"@SinceKotlin(""1.1"") @kotlin.internal.InlineOnly public actual inline fun minOf(a: Long, b: Long, c: Long): Long","{
    return minOf(a, minOf(b, c))
}","/**

 * Returns the smaller of three values.

 */",f16714:m663
58563,"@kotlin.jvm.JvmName(""sumOfUInt"") @SinceKotlin(""1.5"") @WasExperimental(ExperimentalUnsignedTypes::class) public fun Sequence<UInt>.sum(): UInt","{
    var sum: UInt = 0u
    for (element in this) {
        sum += element
    }
    return sum
}","/**

 * Returns the sum of all elements in the sequence.

 *

 * The operation is _terminal_.

 */",f17091:m37
19993,"public inline fun <R> analyze(useSiteKtElement: KtElement, action: KtAnalysisSession.() -> R): R","KtAnalysisSessionProvider.getInstance(useSiteKtElement.project).analyse(useSiteKtElement, action)","/**

 * Executes the given [action] in a [KtAnalysisSession] context.

 *

 * The project will be analyzed from the perspective of [useSiteKtElement]'s module, also called the use-site module.

 *

 * @see KtAnalysisSession

 */",f5731:m35
10426,"fun satisfy(mark: Int, planner: Planner): Constraint?","{
    chooseMethod(mark)
    if (!isSatisfied()) {
        if (strength == Strength.REQUIRED) alert(""Could not satisfy a required constraint!"")
        return null
    }
    markInputs(mark)
    val out = this.output()
    val overridden = out.determinedBy
    if (overridden != null) overridden.markUnsatisfied()
    out.determinedBy = this
    if (!planner.addPropagate(this, mark)) alert(""Cycle encountered"")
    out.mark = mark
    return overridden
}","/**

   * Attempt to find a way to enforce this constraint. If successful,

   * record the solution, perhaps modifying the current dataflow

   * graph. Answer the constraint that this constraint overrides, if

   * there is one, or nil, if there isn't.

   * Assume: I am not already satisfied.

   */",f3476:m281
63672,"@Deprecated(""Use Kotlin compiler 1.4 to avoid deprecation warning."") @SinceKotlin(""1.3"") @DeprecatedSinceKotlin(hiddenSince = ""1.4"") @ExperimentalUnsignedTypes public infix fun UByteArray.contentEquals(other: UByteArray): Boolean","{
    return this.contentEquals(other)
}","/**

 * Checks if the two specified arrays are *structurally* equal to one another.

 * 

 * Two arrays are considered structurally equal if they have the same size, and elements at corresponding indices are equal.

 * 

 * @param other the array to compare with this array.

 * @return `true` if the two arrays are structurally equal, `false` otherwise.

 * 

 * @sample samples.collections.Arrays.ContentOperations.intArrayContentEquals

 */",f17408:m327
43427,"fun cartesianProductOf(first: Iterable<Any?>, second: Iterable<Any?>, vararg rest: Iterable<Any?>): Sequence<List<Any?>>","{
    var result: Sequence<Pair<Any?, Any?>> = first x second
    for (restItem in rest) {
        result = result x restItem
    }
    return result.flattenPairs
}","/**

 * Cartesian product of two and more collections.

 * Returns a sequence of all possible combinations between given elements.

 * Combination is represented as a list with indexes matching order of inputs

 * i.e.

 * ```

 * cartesianProductOf(listOf(""a"", ""b""), listOf(1, 2), listOf(4.3, 6.3)).map { list ->

 *    list[0] // will contain elements of the first argument e.g. ""a""

 *    list[1] // will contain elements of the second argument e.g. 2

 *    list[2] // will contain elements of the second argument e.g. 4.3

 *    // and so on

 * }

 * ```

 */",f13431:m15
54673,"@SinceKotlin(""1.4"") public actual fun <T> Array<out T>?.contentHashCode(): Int","{
    return contentHashCodeInternal()
}","/**

 * Returns a hash code based on the contents of this array as if it is [List].

 */",f16713:m887
